"PaymentID","OrderID","PaymentMethodID","PaymentDate","PaymentAmount"
"1","2","1","7/10/2003","603.50"
"2","4","1","7/12/2003","1,288.00"
"4","5","1","7/15/2003","1,800.00"
"5","6","1","7/14/2003","389.50"
"6","7","1","7/15/2003","1,479.00"
"7","8","1","7/14/2003","2,028.85"
"8","9","1","7/15/2003","1,315.10"
,,,,
