TransactionID,ProductID,PurchaseOrderID,MissingID,TransactionDate,UnitPurchasePrice,QuantityOrdered,QuantityReceived,QuantityMissing,Año,Mes,Mes/Año
84,95,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
85,96,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
86,97,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
87,98,0,1,2003-05-29,0.0,200.0,200.0,0,2003,5,5/2003
88,99,0,1,2003-05-29,0.0,166.0,166.0,0,2003,5,5/2003
89,100,0,1,2003-05-29,0.0,135.0,135.0,0,2003,5,5/2003
90,101,0,1,2003-05-29,0.0,201.0,201.0,0,2003,5,5/2003
92,107,0,1,2003-05-29,0.0,80.0,80.0,0,2003,5,5/2003
94,117,0,1,2003-05-29,0.0,40.0,40.0,0,2003,5,5/2003
97,120,0,1,2003-05-29,0.0,40.0,40.0,0,2003,5,5/2003
99,124,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
101,126,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
105,129,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
109,131,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
111,133,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
115,139,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
117,145,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
123,151,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
125,152,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
127,153,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
129,154,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
131,155,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
133,156,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
135,157,0,1,2003-05-29,0.0,250.0,250.0,0,2003,5,5/2003
137,159,0,1,2003-05-29,0.0,721.0,721.0,0,2003,5,5/2003
139,160,0,1,2003-05-29,0.0,249.0,249.0,0,2003,5,5/2003
141,161,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
142,162,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
143,163,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
144,164,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
145,167,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
146,168,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
147,169,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
148,175,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
149,179,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
150,180,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
151,181,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
152,182,0,1,2003-05-29,0.0,40.0,40.0,0,2003,5,5/2003
153,183,0,1,2003-05-29,0.0,1199.0,1199.0,0,2003,5,5/2003
154,184,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
155,185,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
156,186,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
157,187,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
158,189,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
159,190,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
160,191,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
161,196,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
162,197,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
163,198,0,1,2003-05-29,0.0,116.0,116.0,0,2003,5,5/2003
164,199,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
165,200,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
166,201,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
167,202,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
168,209,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
169,210,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
170,211,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
171,212,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
172,213,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
